author_id,id_paper
101981808,92931839
145852445,72199598
186291484,91742041
129450515,2181659493
121058446,98439214
247869760,46176886
168414984,47315834
182380064,81679530
200071997,108817811
125468,1423724600
2584989,5494237
186421253,83657906
209862209,47460466
72296969,35223662
31445723,145281233
108521175,90392727
230066111,1485037284
158785904,87408384
28708938,34646017
120908459,145555962
99530052,88672981
74014199,3036771
1538400,1975980
5531431,47503997
139696448,94590601
232037089,40457327
75382870,82584800
124330025,31276691
228382780,34480040
153535830,100896071
163842104,145972309
182662014,149301064
146617912,69399874
258051377,2214054181
8841793,3616127
75054458,84012835
223020377,80855006
95842250,92447638
254542192,2160926012
44260310,144517581
63995323,73282333
78726194,145283388
28377837,6193051
179770104,136433190
156070351,1485257609
189510671,145031419
10108530,2448656
276502410,2075540909
5949008,5317863
79755043,48603439
251346531,32849972
167454971,1444645134
188094796,148742748
124796951,2927880
46448766,2245109348
238757278,2132593162
26409755,3727649
26003055,4801279
8807151,11961836
44569165,37765000
84267200,9298983
167401804,143923236
27819708,145972931
18495988,9816585
139112949,2071723607
130445160,2113821017
223874910,135832045
258986251,84059867
204150707,48244481
209199048,80226944
89394830,13286736
92240370,79229097
45488528,46715200
192016747,146307268
208710527,97369195
141993541,144959525
143271210,48701897
114189193,1391840124
155235290,11662464
143805797,66238393
84576458,5757093
3572902,8491398
274888477,2046890504
11540839,4891045
20311431,46751748
21209835,3127501
95663367,40158711
135978759,113816276
174697567,91724254
175838850,135334218
166730365,79574316
233561045,143799873
206643182,40491718
187893495,135985869
266092725,2272701966
157504473,120383254
147568461,114204769
244767688,101828980
120451031,102980527
98850755,2028583427
101906284,93773969
91142293,2957888
203268219,1383477865
11902340,3329468
69689608,27586929
146001372,73378298
140955761,89792071
182253190,101087740
173323950,102884703
158481373,2109106678
155998406,103871113
24938915,49169003
68911969,3512452
130029917,1439449264
161365777,120743869
191312317,2085320162
4266941,2072418374
146800937,34598495
232451437,46715129
20657163,50207486
12781336,2299520
107674571,96474924
117124291,21210699
123858958,3018726
227794912,46208664
238169062,88112395
242994602,93335498
266015592,2269939602
184913432,133820033
41283967,143903607
275647645,2340724215
10823459,143730819
96780653,82469390
137875463,123357547
136011905,114960097
259570267,152806752
226263664,1401565294
195195528,134962185
187066563,2141526667
16182373,2562711
166668323,34979409
56204883,91004305
95532301,91939796
75658845,1431955697
224721158,135931544
220762846,100742670
451799,144536499
56396101,5732934
31951556,145038005
77429087,116485533
88451218,67278337
197729002,47690681
140055155,67310922
152911244,49885242
52892151,145443450
5122427,2240155025
259056233,134476853
72710943,1576011833
39800383,5208474
87338583,87432709
98502109,94415273
204047104,2076918295
190595972,122843448
190821524,148076357
132077861,2089758133
133029095,84250977
173333141,134723662
254906339,4083753
30981004,2857975
263908609,2257340151
79719823,1400871018
245951771,48444217
82080195,3258199
