author_id,id_paper
145852445,96987772
145852445,66665189
129450515,97996047
129450515,1455688063
121058446,3127075
247869760,2004601111
247869760,67288969
168414984,2094443807
168414984,146749085
182380064,66363185
182380064,66610477
182380064,65845354
182380064,66133134
182380064,81626008
200071997,2103450267
200071997,1395416611
200071997,66187314
125468,81756336
2584989,144475664
2584989,33944941
209862209,4146085
209862209,152682244
209862209,33620516
209862209,2108042224
209862209,31432656
209862209,31339771
209862209,145685789
209862209,50741408
209862209,2240130
209862209,35039959
72296969,7261787
72296969,13028700
72296969,2367198
72296969,145209538
72296969,5796467
72296969,47465602
99530052,92002548
99530052,146884753
74014199,66952418
139696448,93622481
139696448,94959805
139696448,96272269
139696448,96514710
232037089,47481567
232037089,48372885
232037089,9620000
232037089,2108003
75382870,120181188
228382780,102402231
153535830,49019808
182662014,2099448664
258051377,39036122
258051377,2038007370
258051377,7290168
258051377,83354405
258051377,116865775
258051377,145177048
258051377,39611218
258051377,35466194
258051377,3733509
8841793,2237207615
75054458,82437183
95842250,38525586
95842250,40427851
95842250,8641665
95842250,46350682
95842250,34781879
95842250,34058161
95842250,2731089
28377837,46912460
28377837,82507699
28377837,144504558
28377837,5915566
28377837,2550622
28377837,1939185
5949008,3495922
5949008,3555201
5949008,40194328
5949008,2241508
5949008,34939420
5949008,34727509
5949008,145480674
5949008,4453808
79755043,1649676224
79755043,2057178406
79755043,32899884
79755043,1432799049
79755043,4178400
79755043,3897351
124796951,2150298360
124796951,47491948
46448766,4337360
46448766,7924930
238757278,2091723425
26003055,2246165413
26003055,2246165413
26003055,21689522
8807151,24057489
8807151,48912904
8807151,4269534
44569165,144579429
44569165,3739622
44569165,145818908
84267200,49996639
84267200,88184513
84267200,2064246782
27819708,144436549
27819708,6077671
27819708,49912699
27819708,1848073
27819708,152260928
18495988,2143870174
18495988,39696320
18495988,50677632
18495988,9779012
18495988,9790306
18495988,9791019
18495988,9794008
18495988,5819775
18495988,9788715
139112949,66069098
139112949,116766639
139112949,2094517158
139112949,2072365979
139112949,114036985
139112949,117778081
139112949,114175221
139112949,96101783
223874910,92475461
223874910,2100102921
258986251,2218626850
258986251,2218623159
258986251,1857807771
204150707,3036896
192016747,112853636
208710527,38317566
208710527,2095535369
3572902,1957874303
3572902,2069791897
3572902,3530701
3572902,4372456
3572902,5248679
3572902,153451254
274888477,2319157477
11540839,83845930
11540839,2251955290
11540839,2058714704
20311431,14140342
20311431,65877390
20311431,39853456
20311431,50434424
20311431,143928245
20311431,35195827
20311431,6230381
21209835,3357422
21209835,1714283
95663367,123381878
95663367,95190115
95663367,4538775
95663367,12688561
174697567,69576970
174697567,91528345
233561045,2087429844
266092725,2273117337
120451031,49716876
91142293,4875949
91142293,74135968
91142293,6230610
91142293,2785439
11902340,3295290
173323950,74971335
173323950,71318263
173323950,66776352
173323950,69518933
155998406,120161405
24938915,2149131554
24938915,35242810
24938915,47103517
68911969,8809933
68911969,2032675
146800937,144642260
232451437,2003551200
232451437,16248534
232451437,152736352
20657163,145888253
20657163,1685803
107674571,2022736584
107674571,32110785
123858958,50884628
123858958,102652078
227794912,81527052
41283967,145338217
10823459,120911991
96780653,3563993
96780653,26297767
96780653,4551708
136011905,101655401
136011905,113457420
136011905,116131808
226263664,1477672436
226263664,47903056
226263664,4506413
187066563,148421093
187066563,148118899
187066563,146140774
16182373,144542166
16182373,1826041
16182373,1737692
220762846,120194046
52892151,145399639
52892151,2217235815
52892151,3625137
5122427,2872120
5122427,2202780
5122427,120570113
5122427,2241664281
259056233,2219475661
259056233,115402152
72710943,143812972
72710943,33934034
87338583,145909310
204047104,1403397083
190595972,122843448
132077861,1480809477
132077861,1443360303
254906339,13572038
254906339,145509765
254906339,6864016
254906339,2028815550
254906339,36149342
254906339,5863998
30981004,144278339
30981004,96701098
263908609,1380576010
263908609,5157575
263908609,2256974703
79719823,12593555
245951771,2154484875
245951771,2152879479
82080195,2478278
82080195,2091265
258434131,74040830
258434131,2215892438
236599323,2335511239
236599323,33724540
856452,2344983
856452,145131045
856452,3607044
856452,5266201
856452,2107936761
856452,4745499
856452,5726577
90796197,5544325
121024831,2085369437
184483697,39695840
184483697,29140713
184483697,32196743
184483697,4753065
184483697,4845697
184483697,1978322
184483697,48605888
275296931,1581710151
59247798,6139244
42042086,144940866
24343427,2271835379
225808943,6846106
225808943,4934915
225808943,5617399
124016355,66407740
124016355,152578030
124016355,104022378
124016355,80715900
272399486,2257047010
272399486,13289557
272399486,2257039979
272399486,2257129995
272399486,2225625707
272399486,2257086629
272399486,2257125231
272399486,46307293
272399486,2294691525
272399486,2152781394
272399486,145245211
272399486,2107947068
182392526,2064388842
182392526,115849344
53552145,3116571
53552145,79877812
53552145,2286163001
202182175,152820292
202182175,153568084
274424848,2237404390
274424848,2212272987
274424848,2108080436
274424848,2212039913
274424848,2323900823
274424848,2333314791
274424848,2269764885
274424848,2117142422
274424848,2238921183
24796199,35231711
32030403,6269761
189114314,104157244
209349015,4694171
209349015,152564360
98089442,2115347172
98089442,2117199815
98089442,2109391351
98089442,92690654
231651127,2047089844
231651127,144247979
231651127,2088094
79698507,70105246
79698507,2083396705
79698507,2083369197
79698507,2071173558
79698507,2060062877
79698507,2084049997
79698507,2056466675
79698507,2070954624
199667687,2034423239
12652081,29425877
12652081,26974206
61829027,2654476
61829027,2982904
125833637,3574556
125833637,3121589
125833637,145526663
125833637,49278735
125833637,39114372
148593540,2070756993
148593540,47124168
22221476,1936727
22221476,97508783
259597407,49384524
259597407,2109266904
259597407,152872180
128578470,2237649748
128578470,2245595400
128578470,144068908
128578470,2245705242
258311982,48694707
258311982,4026076
258311982,2258764272
258311982,2248238461
258311982,2136847115
258311982,2278256376
258311982,3136536
258311982,2268056745
258311982,47620862
258311982,14400726
258311982,2215382638
258311982,2215366841
258311982,119946361
258311982,1556519939
258311982,122370886
258311982,4084773
258311982,2209028479
258311982,123305618
258311982,2278254259
258311982,2128385473
258311982,2278254259
258311982,2278254384
258311982,2278254384
258311982,117307328
258311982,46973207
258311982,2215370909
258311982,3576316
258311982,40361370
258311982,118547369
258311982,2248238461
258311982,2278256376
258311982,50653273
258311982,9533665
258311982,144261943
258311982,3675716
258311982,4104693
258311982,144599360
258311982,5259882
258311982,2317731
258311982,31948026
258311982,2189376694
258311982,2215366873
258311982,145575403
258311982,2157554134
258311982,32616691
258311982,2098910278
258311982,2059217267
258311982,2071161696
258311982,2215367043
258311982,2258764272
258311982,115516614
258311982,6164685
258311982,35587077
258311982,40372526
258311982,4267166
258311982,19198396
258311982,8048003
258311982,2215371297
258311982,2136839129
258311982,2268056745
258311982,7940404
258311982,2058876136
258311982,51401738
258311982,2215371244
258311982,2110315675
258311982,2215367090
258311982,2215366899
258311982,2055287657
258311982,2215371304
258311982,92772052
258311982,2215371358
258311982,2215366795
258311982,2004340434
258311982,2115050204
258311982,38334366
258311982,2215367196
258311982,2067719716
258311982,2022681006
258311982,48694707
258311982,2068675680
258311982,47733304
258311982,50108310
258311982,2297844908
202676897,2069360468
129170273,95837306
129170273,152491339
70983763,6846014
136599075,98661954
58659163,3201046
58659163,3359488
58659163,3011603
55550503,3798690
55550503,2254830937
101638070,40791099
101638070,48520410
101638070,46933116
153987615,90579334
153987615,89790826
73420227,152395845
73420227,9469852
73420227,5627010
73420227,83597796
261119959,122087230
261119959,14244549
261119959,2233442859
261119959,2143613925
220653192,1659242580
220653192,2365718
99541138,1678749
137200542,2108379601
137200542,2112532222
265433109,153459584
265433109,2134654710
265433109,2092178853
265433109,2111423198
265433109,3641203
218778706,34502924
218778706,14776359
218778706,47647416
218778706,16056437
218778706,3300292
218778706,1446124911
218778706,2111154352
218778706,3410185
77909284,67014423
77909284,65816279
78780436,5203916
78780436,40394173
78780436,2557379
78780436,2593005
78780436,1401889658
78780436,144005409
78780436,2225435
78780436,4037132
78780436,2593801
78780436,2593801
78780436,3743206
78780436,5430271
78780436,153238994
78780436,74865471
