author_id,author_name
21095332,L. Broers
2103505370,Конрад Уибер
11027270,M. Zahalsky
14056692,B. Dou
14802924,Huayi Qi
2143083,J. Bagby
47351109,T. Matsumura
143728785,N. Georgiev
148519053,Дэвид А. Снопек
2214063520,Janelle Garcia
123610733,Villalobos Goyarrola
2055421911,A. Yani
144363156,M. Gurney
134887948,Yukio Hasekura
14305069,V. Ciardelli
6016055,P. A. Ajibade
9791019,F. Babazadeh
2679821,Takayuki Shimazu
49647668,A. Stejskal
94592074,Kimberly Ann Frostad
80872906,正男 川谷
2338498698,Gusrila Novita Sari
117048839,Eva Mutiara Putri
2093465020,P. Christopoulos
118420447,Kuo-Tseng Li
46700150,Jing-yuan Liu
11214075,I. Cibulka
2059059835,Li Guan
2110855585,Geesoo Lee
145209538,D. Trevisanuto
153733134,D. Campbell
41222822,M. Quintana
2134488301,徐刚标 XU Gangbiao
2056029777,Tao Feng
69041055,V. Fisher
51441487,I. Samajdar
46536738,S. Wong
2299928105,Abdramane Bagayogo
66516107,H. Schreier
50162618,Shoji Takada
48244481,J. Tame
134435504,M. Migliavacca
1423411984,A. Chandler
91052767,S. N. Vlasov
104548014,Meera Velayudhan
49239396,P. Foubert
103407912,Myong-suk Lee
2125896723,Tainá Batista Arruda
66459636,박종호
50427181,S. Chakravarty
13731193,K. Boušková
136271667,田多 英興
4480757,N. Smilowitz
2053308994,W. Ren
89766504,William J. Taraszewski
101137548,Ja Lanaway
5386209,F. Sabuncuoğlu
2488785,R. Gronheid
8108811,Y. Park
1922575,U. Ziemann
3950608,P. Zilm
1388119777,Guilherme Camara Meireles
3386747,Daniel E. Guyer
123099023,Katharine Golding
103606564,T. Miyaji
1445458625,V·G·卡拉切维夫
50258095,J. Barciszewski
2053271263,S. M. Souza
2191370418,Yifang Fan
2064142851,Aubrey Manning
3845217,C. Levenstein
16154559,A. Peña Yáñez
4869158,J. Alverdy
2076315179,R. Fankhauser
2140926003,N. Shafiq
2087429844,Rita Makim
143892357,D. W. Winkler
91366955,木原 博
2622265,S. Pfenninger
2264376,T. Hodel
2118473746,Hanwoo Yang
51440475,S. Baskaran
49048431,B. Xin
113816276,Hanane Bourgani
2138959057,Luigi Foschi
37243824,G. Braun
51980548,A. Et
118437792,T. Zhelibo
115516614,Brian Rowe
72036780,张红利
88184513,Y. N. Jha
14428486,Mahesh V. Madhavan
40496610,A. Tokmachev
145251367,W. Greiner
73125554,Liliane Canopf
5060753,H. Wohl
52358974,P. Allsen
2467758,M. Weinberger
151329659,ناصر بن عوض الزهراني
87345694,U. Deil
15713788,Gui-ji Wang
2074731410,M. Staněk
66191910,فریبا برهانی
2109395110,Han Wei
20648729,G. Palma
145210576,K. Hsu
13040167,Yaoting Fan
2297202062,Sadia Riaz
101320306,Paul Lendvai
39154951,Brian M. O'Connell
93335498,William M. Cready
145779137,Peng Liu
144740107,Motoyuki Sato
47465602,E. Cosmi
2107223825,L. Jin
3786061,J. Moses
108638136,H. Romian
46891901,W. Ritter
6666776,Cécile Jamart
2153578242,Weihong Gao
88002945,P. Scott
70163503,Dallas Brozik
14712231,D. P. K. Queiroz
2143717163,Jin Wang
52197780,R. Willox
136050405,桂 千穂
2108794609,Yi Huang
2253625257,Chang-hai Wang
113627218,洪德飞
50389005,D. Lowe
93575478,임진식
104498223,Emmanuelle Martial
2226142545,Qi‐Quan Huang
23527889,L. Perry
147251436,K. Schade
100486684,M. O. Kluger
32749807,S. Bhattacharyya
4372456,Shaolan Qin
48635242,J. Lahr
116051190,Shengxin Fan
38850831,C. Anderson
2190066417,James Adjabeng Asenso
6754195,P. MacEachern
34775790,S. Nigam
97351334,D. Horna
5304035,M. Gezalian
145623209,I. Svendsen
3679386,J. Mackillop
1941421,Yasuyuki Satoh
48247044,Fackler
2090532368,Mitsuru Sunakawa
98240220,P. N. Parmantoro
116305638,C. V. Easum
1708223632,M. Vitale
39071258,L. Gow
11961836,Kristen N. Delaney
2264990341,Luning Zhao
15505299,K. Němeček
5556512,P. Wardman
69910439,A. Jansen
145685789,Z. Hussain
2064246782,A. Shrivastava
2342054054,Y.C. Cheng
4192540,Richie E. Kohman
73138312,Jodie Shimmen
144536499,M. Akbar
72412328,김성돈
16248534,Mikaela J. Dufur
1972896,W. Ying
4667699,V. Cruvinel
52075397,S. Severiens
3675716,M. Welsford
2283256528,Sérgio Baetta Ferreira
143735078,R. Petrovic
69467973,支文军
6427667,G. Mutter
46180846,N. A. Rusdi
145991718,Tetsushi Sakuma
